PlotNumber,SiteUnit,bgc
12-3377,MH  vh   /102,MH  vh
12-2G1,CDF mm   /101,CDF mm
12-2282,CWH ms 3 /103.1,CWH ms 3
12-2281,CWH ms 3 /103.1,CWH ms 3
12-2280,CWH ms 3 /103.1,CWH ms 3
12-2279,CWH ms 3 /103.1,CWH ms 3
12-2278,CWH ms 3 /111,CWH ms 3
12-2272,MH  mm 2 /102,MH  mm 2
12-2270,MH  mm 2 /110,MH  mm 2
12-2269,MH  mm 2 /101a,MH  mm 2
12-2267,CWH ws 2 /103,CWH ws 2
12-2265,CWH ws 2 /113,CWH ws 2
12-2262,MH  mm 2 /113,MH  mm 2
12-2261,MH  mm 2 /101a,MH  mm 2
12-2257,MH  mm 2 /101a,MH  mm 2
12-2255,CWH mm 2 /110,CWH mm 2
12-2254,CWH mm 2 /103,CWH mm 2
12-2253,CWH mm 2 /101,CWH mm 2
12-2252,MH  mm 2 /110,MH  mm 2
12-2251,MH  mm 2 /102,MH  mm 2
12-2250,MH  mm 2 /113,MH  mm 2
12-2249,MH  mm 2 /101a,MH  mm 2
12-2247,MH  mm 2 /113,MH  mm 2
12-2245,MH  mm 2 /101a,MH  mm 2
12-2243,MH  mm 1 /101b,MH  mm 1
12-2242,MH  mm 2 /102,MH  mm 2
12-2241,MH  mm 2 /101a,MH  mm 2
12-2240,MH  mm 2 /113,MH  mm 2
12-2223,MH  vh   /111,MH  vh
12-2222,MH  mm 1 /111,MH  mm 1
12-2221,CWH ws 2 /101,CWH ws 2
12-2220,CWH wm   /111,CWH wm
12-2219,MH  mm 1 /111,MH  mm 1
12-2218,MH  mm 1 /101b,MH  mm 1
12-2217,MH  mm 1 /101a,MH  mm 1
12-2216,MH  vh   /111,MH  vh
12-2215,CWH vh 2 /113,CWH vh 2
12-2214,CWH vh 2 /101,CWH vh 2
12-2213,CWH vm 4 /102,CWH vm 4
12-2212,CWH vm 3 /110,CWH vm 3
12-2211,MH  vh   /101,MH  vh
12-2210,CWH vm 3 /111.1,CWH vm 3
12-2209,CWH vm 4 /103,CWH vm 4
12-2208,MH  vh   /111,MH  vh
12-2207,CWH vm 4 /103,CWH vm 4
12-2201,MH  vh   /110,MH  vh
12-1G2,CDF mm   /105,CDF mm
12-1984,MH  mm 2 /102,MH  mm 2
12-1983,MH  mm 2 /101b,MH  mm 2
12-1982,CWH ms 2 /110,CWH ms 2
12-1980,MH  vh   /102,MH  vh
12-1976,MH  mm 2 /101a,MH  mm 2
12-1975,MH  mm 2 /113,MH  mm 2
12-1973,MH  mm 2 /110,MH  mm 2
12-1972,CWH vm 2 /101,CWH vm 2
12-1971,CWH dm 2 /111,CWH dm 2
12-1970,CWH dm 2 /110,CWH dm 2
12-1968,CWH dm 2 /110,CWH dm 2
12-1958,MH  vh   /110,MH  vh
12-1957,MH  vh   /110,MH  vh
12-1956,MH  mm 1 /101a,MH  mm 1
12-1955,CWH vm 4 /101,CWH vm 4
12-1954,CWH vm 3 /112.2,CWH vm 3
12-1953,MH  mm 1 /101a,MH  mm 1
12-1952,MH  mm 1 /101a,MH  mm 1
12-1950,MH  vh   /101,MH  vh
12-1948,MH  vh   /110,MH  vh
12-1947,MH  vh   /110,MH  vh
12-1946,CWH vm 3 /111.1,CWH vm 3
12-1945,CWH vm 4 /110,CWH vm 4
12-1944,MH  mm 1 /111,MH  mm 1
12-1943,CWH vm 3 /101,CWH vm 3
12-1942,CWH ws 2 /102,CWH ws 2
12-1941,CWH ws 2 /101,CWH ws 2
12-1940,CWH ws 2 /101,CWH ws 2
12-1939,CWH ws 2 /102,CWH ws 2
12-1938,MH  mm 2 /102,MH  mm 2
12-1937,MH  mm 2 /101b,MH  mm 2
12-1936,CWH vm 4 /112,CWH vm 4
12-1935,CWH vm 4 /111,CWH vm 4
12-1934,CWH vm 1 /101,CWH vm 1
12-1933,CWH ds 1 /110,CWH ds 1
12-1932,MH  mm 2 /113,MH  mm 2
12-1929,CWH ms 3 /101.2,CWH ms 3
12-1928,CWH ms 3 /103.1,CWH ms 3
12-1927,CWH ms 3 /101.2,CWH ms 3
12-1925,CWH mm 2 /112,CWH mm 2
12-1923,MH  mm 2 /101a,MH  mm 2
12-1922,MH  mm 2 /110,MH  mm 2
12-1921,MH  mm 2 /101b,MH  mm 2
12-1920,MH  mm 2 /101a,MH  mm 2
12-1919,MH  mm 2 /102,MH  mm 2
12-1918,MH  mm 2 /101b,MH  mm 2
12-1917,MH  vh   /111,MH  vh
12-1916,CWH vm 3 /101,CWH vm 3
12-1914,CWH dm 3 /101,CWH dm 3
12-1913,CWH dm 3 /112,CWH dm 3
12-1911,CWH vm 1 /112.1,CWH vm 1
12-1910,CWH vm 2 /111.2,CWH vm 2
12-1909,MH  mm 1 /101a,MH  mm 1
12-1908,CWH mm 2 /111,CWH mm 2
12-1906,CWH vm 1 /110,CWH vm 1
12-1905,CWH vm 1 /105,CWH vm 1
12-1902,CWH vm 2 /114,CWH vm 2
12-1901,MH  mm 1 /101a,MH  mm 1
12-1439,CWH wm   /112a,CWH wm
12-1405,CWH wm   /113,CWH wm
119980,ESSFmk   /03,ESSFmk
119978,SBS mc 2 /01,SBS mc 2
119880,SBS mc 2 /03,SBS mc 2
119878,SBS mc 2 /05,SBS mc 2
119780,ICH mc 2 /07,ICH mc 2
119778,CWH vh 2 /110,CWH vh 2
1197,CWH mm 1 /101,CWH mm 1
119678,CWH vh 2 /105,CWH vh 2
119578,CWH vh 2 /105,CWH vh 2
1195,CWH dm 1 /112,CWH dm 1
119478,CWH vh 2 /110,CWH vh 2
1194,CWH dm 1 /112,CWH dm 1
119280,CWH vm 3 /112.2,CWH vm 3
119180,CWH vm 3 /112.2,CWH vm 3
1191,CWH dm 1 /101,CWH dm 1
119078,SBS dk   /10,SBS dk
1190,CWH dm 1 /110,CWH dm 1
118980,ICH wc   /05,ICH wc
118978,SBS mc 2 /09,SBS mc 2
1189,CWH dm 1 /112,CWH dm 1
118880,ICH wc   /03,ICH wc
118878,SBS mc 2 /01,SBS mc 2
1188,CWH dm 1 /112,CWH dm 1
118780,CWH wm   /112b,CWH wm
118778,ICH mc 1 /01,ICH mc 1
1187,CWH dm 1 /112,CWH dm 1
118680,CWH wm   /113,CWH wm
118678,ICH mc 2 /01,ICH mc 2
1186,CWH dm 1 /112,CWH dm 1
118580,CWH wm   /112a,CWH wm
118578,ICH mc 2 /01,ICH mc 2
1185,CWH dm 2 /104,CWH dm 2
118480,BWBSdk   /104,BWBSdk
118478,ICH mc 2 /01,ICH mc 2
1184,CWH mm 1 /110,CWH mm 1
118380,ESSFwv   /06,ESSFwv
1183,CWH mm 1 /101,CWH mm 1
118280,CWH wm   /101a,CWH wm
1182,CWH mm 2 /101,CWH mm 2
118180,ICH mc 2 /01,ICH mc 2
1181,CWH mm 2 /101,CWH mm 2
118080,ICH wc   /01,ICH wc
118078,SBS dk   /09,SBS dk
1180,CWH mm 1 /104,CWH mm 1
117980,ICH wc   /03,ICH wc
117978,SBS dk   /03,SBS dk
1179,CWH mm 1 /101,CWH mm 1
117880,ICH wc   /01,ICH wc
117878,SBS mc 2 /09,SBS mc 2
117780,ICH wc   /05,ICH wc
117778,SBS mc 2 /01,SBS mc 2
117680,CWH wm   /101b,CWH wm
117678,SBS dk   /06,SBS dk
1176,CWH dm 1 /113,CWH dm 1
117580,CWH wm   /112b,CWH wm
117578,SBS mc 2 /09,SBS mc 2
1175,CDF mm   /105,CDF mm
1174,CWH mm 1 /104,CWH mm 1
117380,SBPSmc   /03,SBPSmc
117378,SBS dk   /08,SBS dk
1173,CWH mm 2 /112,CWH mm 2
117280,CWH ws 3 /110,CWH ws 3
117278,SBS dk   /06,SBS dk
1172,CWH mm 2 /113,CWH mm 2
117180,BWBSdk   /104,BWBSdk
1171,CWH mm 2 /112,CWH mm 2
117080,CWH vm 4 /101,CWH vm 4
117078,SBS dk   /06,SBS dk
1170,CWH mm 2 /110,CWH mm 2
116980,ESSFwv   /03,ESSFwv
116978,SBS dk   /06,SBS dk
1169,CWH mm 2 /101,CWH mm 2
116880,SBS dk   /03,SBS dk
116878,CWH ws 2 /110,CWH ws 2
1168,MH  mm 1 /101a,MH  mm 1
116780,SBS mc 2 /06,SBS mc 2
116778,SBS mc 2 /01,SBS mc 2
1167,MH  mm 1 /110,MH  mm 1
116680,SBS dk   /01,SBS dk
116678,ICH mc 1a/01,ICH mc 1a
116478,SBS mc 2 /01,SBS mc 2
1164,MH  mm 1 /101a,MH  mm 1
116378,SBS mc 2 /01,SBS mc 2
1163,MH  mm 1 /101a,MH  mm 1
116280,CWH vm 3 /114,CWH vm 3
116278,SBS dk   /09,SBS dk
1162,MH  mm 1 /101a,MH  mm 1
1161,CWH mm 1 /103,CWH mm 1
116080,ICH mc 2 /01,ICH mc 2
116078,SBS dk   /06,SBS dk
1160,CWH mm 1 /103,CWH mm 1
115980,ICH mc 2 /01,ICH mc 2
115978,SBS dk   /01,SBS dk
115950,CWH ws 3 /110,CWH ws 3
1159,CWH mm 2 /103,CWH mm 2
115880,ICH mc 2 /01,ICH mc 2
115878,SBS mc 2 /01,SBS mc 2
1158,CWH mm 2 /103,CWH mm 2
115780,ICH mc 2 /04,ICH mc 2
1157,CWH mm 2 /103,CWH mm 2
115680,CWH wh 2 /110,CWH wh 2
1156,CWH mm 2 /103,CWH mm 2
115580,MH  wh   /101b,MH  wh
1155,CWH mm 1 /103,CWH mm 1
115480,CWH wh 1 /101a,CWH wh 1
115478,SBS dk   /08,SBS dk
1154,CWH dm 2 /104,CWH dm 2
115380,CWH wh 1 /101a,CWH wh 1
115378,SBS mc 2 /12,SBS mc 2
1153,MH  mm 1 /101a,MH  mm 1
115280,CWH wh 2 /101a,CWH wh 2
115278,SBS mc 2 /01,SBS mc 2
1152,CWH mm 2 /112,CWH mm 2
115180,CWH wh 2 /101a,CWH wh 2
115178,SBS mc 2 /01,SBS mc 2
1151,CWH mm 2 /101,CWH mm 2
115080,CWH wh 2 /101a,CWH wh 2
114980,CWH wh 2 /101a,CWH wh 2
1149,CWH mm 1 /101,CWH mm 1
114880,MH  wh   /110,MH  wh
1148,CWH dm 2 /104,CWH dm 2
114780,MH  wh   /101a,MH  wh
1147,CWH dm 2 /104,CWH dm 2
114694,CWH wh 1 /117,CWH wh 1
114680,CWH wh 2 /101a,CWH wh 2
114603,CWH wh 1 /103 .1,CWH wh 1
1146,CWH mm 2 /103,CWH mm 2
114580,MH  wh   /101b,MH  wh
114550,CWH ws 3 /110,CWH ws 3
1145,CWH dm 2 /112.1,CWH dm 2
114480,CWH wh 2 /101c,CWH wh 2
1144,MH  mm 1 /110,MH  mm 1
114380,CWH wh 2 /101c,CWH wh 2
1143,CWH dm 2 /110,CWH dm 2
114280,CWH wh 1 /110a,CWH wh 1
1142,MH  mm 1 /101a,MH  mm 1
114180,CWH wh 1 /101b,CWH wh 1
1141,CWH mm 2 /101,CWH mm 2
114080,MH  wh   /101b,MH  wh
1140,CWH mm 2 /101,CWH mm 2
113980,CWH wh 1 /116,CWH wh 1
1139,CWH mm 1 /101,CWH mm 1
113880,CWH wh 1 /101a,CWH wh 1
1138,CWH mm 1 /110,CWH mm 1
113780,CWH wh 1 /101b,CWH wh 1
1137-2,ESSFmh   /101,ESSFmh
1137,CWH mm 1 /110,CWH mm 1
113680,CWH wh 1 /101a,CWH wh 1
113650,CWH ws 3 /110,CWH ws 3
1136,CWH mm 1 /104,CWH mm 1
113580,CWH wh 1 /101a,CWH wh 1
1135,CWH dm 2 /110,CWH dm 2
113480,CWH wh 1 /101a,CWH wh 1
113350,CWH ws 3 /113,CWH ws 3
1133,CWH mm 2 /101,CWH mm 2
113280,CWH wh 1 /101a,CWH wh 1
1132,CWH mm 2 /110,CWH mm 2
113180,CWH wh 1 /110b,CWH wh 1
1131,CWH mm 1 /101,CWH mm 1
113080,CWH wh 1 /101a,CWH wh 1
1130,CWH mm 2 /101,CWH mm 2
112980,CWH wh 1 /115,CWH wh 1
112880,CWH wh 1 /111a,CWH wh 1
1128,CWH dm 2 /110,CWH dm 2
112750,CWH ws 3 /110,CWH ws 3
1127,CWH dm 2 /105,CWH dm 2
112650,CWH vh 3 /110a,CWH vh 3
1126,CWH dm 2 /110,CWH dm 2
112550,CWH vh 3 /101a,CWH vh 3
112450,CWH vh 3 /101a,CWH vh 3
1124,CWH dm 1 /103,CWH dm 1
112350,CWH vh 3 /115,CWH vh 3
1123,CWH dm 2 /104,CWH dm 2
112250,CWH vh 3 /106,CWH vh 3
1122,CWH dm 2 /110,CWH dm 2
112150,CWH vh 3 /101a,CWH vh 3
1121,CDF mm   /101,CDF mm
112050,CWH wh 1 /111b,CWH wh 1
111950,CWH wh 1 /111a,CWH wh 1
1119,CWH dm 2 /110,CWH dm 2
111850,CWH vh 3 /101b,CWH vh 3
1118,CWH mm 1 /103,CWH mm 1
111750,CWH vh 3 /110a,CWH vh 3
1117,CWH mm 1 /101,CWH mm 1
111650,CWH vh 3 /101a,CWH vh 3
111550,CWH vh 3 /101a,CWH vh 3
1115,CWH dm 1 /112,CWH dm 1
111450,CWH vh 3 /110b,CWH vh 3
1114,CWH dm 2 /104,CWH dm 2
111350,CWH vh 3 /101a,CWH vh 3
1113,CWH mm 1 /103,CWH mm 1
111280,CWH wh 1 /101a,CWH wh 1
111250,CWH vh 3 /115,CWH vh 3
1112-2,ICH mw 5 /104,ICH mw 5
111180,CWH wh 1 /111a,CWH wh 1
111150,CWH vh 3 /101a,CWH vh 3
111050,CWH vh 3 /101b,CWH vh 3
1110,CWH dm 1 /103,CWH dm 1
110980,CWH wh 1 /111a,CWH wh 1
1109,CDF mm   /104,CDF mm
110880,CWH wh 2 /101c,CWH wh 2
110780,CWH ws 3 /110,CWH ws 3
110750,CWH vh 3 /117,CWH vh 3
110680,CWH vm 3 /101,CWH vm 3
110650,CWH vh 3 /117,CWH vh 3
110550,CWH vh 3 /101a,CWH vh 3
110480,CWH ws 3 /110,CWH ws 3
110450,CWH vh 3 /110a,CWH vh 3
110350,CWH vh 2 /101,CWH vh 2
110280,CWH vm 3 /114,CWH vm 3
110250,CWH vh 2 /113,CWH vh 2
1102-1,ESSFmh   /104,ESSFmh
110050,CWH vh 2 /101,CWH vh 2
11-9901,MH  mm 2 /101a,MH  mm 2
11-9900,MH  mm 2 /101a,MH  mm 2
11-9828,CWH xs   /101.1,CWH xs
11-9826,CWH vh 2 /101,CWH vh 2
11-9807,MH  mm 2 /101a,MH  mm 2
11-9805,MH  mm 2 /101a,MH  mm 2
11-9771,MH  mm 1 /111,MH  mm 1
11-9769,MH  mm 2 /112,MH  mm 2
11-9768,MH  mm 2 /113,MH  mm 2
11-9766,CWH vm 2 /112.1,CWH vm 2
11-9765,CWH vm 2 /101,CWH vm 2
11-9741,CWH dm 2 /110,CWH dm 2
11-9740,CWH dm 1 /110,CWH dm 1
11-9737,CWH dm 2 /104,CWH dm 2
11-9736,CWH dm 1 /110,CWH dm 1
11-9735,CWH ds 1 /104,CWH ds 1
11-9734,CWH dm 3 /104,CWH dm 3
11-9707,CWH dm 2 /105,CWH dm 2
11-9706,CWH ds 1 /110,CWH ds 1
11-9704,CWH ds 1 /112,CWH ds 1
11-9703,CWH vh 2 /113,CWH vh 2
11-9700,CWH ds 1 /101a,CWH ds 1
11-9092,IDF dh   /103,IDF dh
11-9089,IDF dh   /104.2,IDF dh
11-9088,IDF dh   /102,IDF dh
11-5079,ICH xw   /103,ICH xw
11-5078,IDF xx 1 /103,IDF xx 1
11-5077,IDF xx 1 /103,IDF xx 1
11-5065,ICH mw 5 /112,ICH mw 5
11-5059,ESSFdc 1 /101,ESSFdc 1
11-5058,ESSFdc 1 /111,ESSFdc 1
11-5057,ESSFdc 1 /110,ESSFdc 1
11-5056,ESSFmh   /103,ESSFmh
11-5054,ICH mk 1 /105,ICH mk 1
11-5053,ICH mk 1 /103,ICH mk 1
11-5049,ESSFdc 1 /101,ESSFdc 1
11-5048,ESSFdc 1 /110,ESSFdc 1
11-5047,ESSFdcw  /103,ESSFdcw
11-5043,ESSFdc 1 /111,ESSFdc 1
11-5042,ESSFdc 1 /104,ESSFdc 1
11-5041,ESSFdcw  /110,ESSFdcw
11-5040,ESSFdcw  /103,ESSFdcw
11-5033,ICH mk 1 /105,ICH mk 1
11-5029,ICH mk 1 /111,ICH mk 1
11-5028,ICH mk 1 /101,ICH mk 1
11-5026,ICH mk 1 /111,ICH mk 1
11-5022,ICH mw 5 /102,ICH mw 5
11-5021,ICH mw 5 /103,ICH mw 5
11-5020,ICH mw 5 /104,ICH mw 5
11-5019,ICH mw 5 /102,ICH mw 5
11-4098,ICH xw   /102,ICH xw
11-4097,ESSFmh   /110,ESSFmh
11-4096,ESSFmh   /101,ESSFmh
11-4095,IDF dh   /103,IDF dh
11-4094,IDF dh   /104,IDF dh
11-4093,ICH xw   /102,ICH xw
11-4085,IDF dh   /102,IDF dh
11-4084,ICH mw 5 /110,ICH mw 5
11-4083,ESSFmh   /105,ESSFmh
11-4082,ESSFdc 1 /101,ESSFdc 1
11-4081,ESSFdc 1 /110,ESSFdc 1
11-4023,ICH dm   /110,ICH dm
11-4020,ICH dm   /101,ICH dm
11-4001,ICH dm   /101,ICH dm
11-2F1,CDF mm   /101,CDF mm
109980,CWH vm 3 /101,CWH vm 3
109950,CWH vh 2 /111,CWH vh 2
109850,CWH vh 2 /104,CWH vh 2
109750,CWH vh 2 /110,CWH vh 2
1097-3,ICH mw 4 /112,ICH mw 4
1097-1,ICH mw 4 /110,ICH mw 4
109650,CWH vh 2 /113,CWH vh 2
109580,CWH vm 3 /112.2,CWH vm 3
109480,ICH wc   /05,ICH wc
109450,CWH vh 2 /104,CWH vh 2
109380,ICH wc   /04,ICH wc
109350,CWH vh 2 /113,CWH vh 2
1093-1,ESSFmh   /105,ESSFmh
109280,BWBSdk   /Ws15,BWBSdk
109250,CWH vh 2 /110,CWH vh 2
109180,CWH vh 2 /101,CWH vh 2
109080,SWB mk   /01,SWB mk
109050,CWH vh 2 /111,CWH vh 2
108980,BWBSdk   /101,BWBSdk
108880,ICH vc   /03,ICH vc
108850,CWH vh 2 /110,CWH vh 2
108780,ICH wc   /03,ICH wc
108750,CWH vh 2 /102,CWH vh 2
108680,ESSFmc   /01,ESSFmc
108650,CWH vm 3 /104,CWH vm 3
1086-3,ESSFdc 1 /111,ESSFdc 1
1086-1,ESSFdc 1 /101,ESSFdc 1
108580,SBS mc 2 /01,SBS mc 2
108550,CWH vh 2 /110,CWH vh 2
108480,SBS mc 2 /01,SBS mc 2
108451,CWH ws 1 /103,CWH ws 1
108450,CWH vh 2 /101,CWH vh 2
108380,SBS mc 2 /01,SBS mc 2
108351,CWH ws 2 /101,CWH ws 2
108350,CWH vh 2 /111,CWH vh 2
108280,SBS mc 2 /01,SBS mc 2
108250,CWH vh 2 /113,CWH vh 2
108180,SBS mc 2 /06,SBS mc 2
108150,CWH vh 2 /104,CWH vh 2
108080,SBS mc 2 /06,SBS mc 2
107980,SBS mc 2 /06,SBS mc 2
107850,CWH vh 2 /101,CWH vh 2
107750,CWH vh 2 /105,CWH vh 2
107680,CWH vm 4 /112,CWH vm 4
107650,CWH vh 2 /113,CWH vh 2
107580,CWH wm   /112b,CWH wm
107579,SBPSmc   /01,SBPSmc
107550,CWH vh 2 /101,CWH vh 2
107480,ICH vc   /02.2,ICH vc
107479,SBPSmc   /01,SBPSmc
107450,CWH vh 2 /101,CWH vh 2
107380,ICH vc   /01.1,ICH vc
107350,CWH vh 2 /110,CWH vh 2
107180,ICH vc   /02.1,ICH vc
107080,CWH wm   /113,CWH wm
107050,CWH vh 2 /111,CWH vh 2
106980,ICH mc 1 /03,ICH mc 1
106950,CWH vh 2 /111,CWH vh 2
106880,ICH mc 1 /01,ICH mc 1
106780,SWB mk   /01,SWB mk
106750,CWH vh 2 /110,CWH vh 2
106680,SBS dk   /06,SBS dk
106650,CWH vh 2 /111,CWH vh 2
106550,CWH vh 2 /110,CWH vh 2
106480,ICH vc   /01.1,ICH vc
106450,CWH vh 2 /113,CWH vh 2
106380,BWBSdk   /101,BWBSdk
106350,CWH vh 2 /111,CWH vh 2
106280,CWH wm   /101a,CWH wm
106250,CWH vh 2 /101,CWH vh 2
106180,CWH wm   /111,CWH wm
106150,CWH vh 2 /110,CWH vh 2
106080,ICH mc 1 /01,ICH mc 1
106050,CWH vh 2 /111,CWH vh 2
105980,CWH wm   /110,CWH wm
105950,CWH vh 2 /111,CWH vh 2
105880,ICH vc   /02.1,ICH vc
105850,CWH vh 2 /110,CWH vh 2
105780,ICH vc   /01.2,ICH vc
105750,CWH vh 2 /110,CWH vh 2
105680,ICH vc   /02.2,ICH vc
105650,CWH vh 2 /110,CWH vh 2
105580,ICH vc   /02.1,ICH vc
105550,CWH vh 2 /111,CWH vh 2
105480,ICH vc   /03,ICH vc
105450,CWH vh 2 /104,CWH vh 2
105350,CWH vh 2 /104,CWH vh 2
105180,ESSFmc   /07,ESSFmc
105151,CWH ws 1 /101,CWH ws 1
105080,ICH mc 1a/01,ICH mc 1a
105079,SBPSmc   /01,SBPSmc
105051,CWH ws 1 /112,CWH ws 1
105050,CWH vh 2 /110,CWH vh 2
104980,CWH ws 2 /101,CWH ws 2
104951,CWH ws 1 /101,CWH ws 1
104880,ESSFmc   /06,ESSFmc
104780,ESSFmcw  /110,ESSFmcw
104751,CWH ws 1 /112,CWH ws 1
104680,SBS mc 2 /09,SBS mc 2
104651,CWH ws 1 /101,CWH ws 1
104580,SBS mc 2 /06,SBS mc 2
104551,CWH ws 1 /101,CWH ws 1
104480,SBS mc 2 /10,SBS mc 2
104380,SBS mc 2 /09,SBS mc 2
104280,SBS mc 2 /01,SBS mc 2
104180,SBS mc 2 /01,SBS mc 2
104150,CWH vh 2 /102,CWH vh 2
104080,SBS mc 2 /01,SBS mc 2
103980,SBS mc 2 /01,SBS mc 2
103880,SBS mc 2 /06,SBS mc 2
103780,SBS mc 2 /05,SBS mc 2
103751,CWH ws 1 /101,CWH ws 1
103680,SBS mc 2 /02,SBS mc 2
103580,SBS mc 2 /01,SBS mc 2
103480,SBS mc 2 /02,SBS mc 2
103451,CWH ws 1 /103,CWH ws 1
1034-2,ICH dw 1 /111,ICH dw 1
103380,SBS mc 2 /06,SBS mc 2
103351,CWH ws 1 /112,CWH ws 1
103280,SBS mc 2 /01,SBS mc 2
103251,CWH ws 1 /103,CWH ws 1
103180,SBS mc 2 /01,SBS mc 2
103080,SBS mc 2 /01,SBS mc 2
1030-2,ESSFmh   /103,ESSFmh
102980,SBS mc 2 /01,SBS mc 2
102880,SBS mc 2 /06,SBS mc 2
102850,CWH vh 2 /101,CWH vh 2
102780,SBS mc 2 /01,SBS mc 2
102750,CWH vh 2 /101,CWH vh 2
102680,SBS mc 2 /05,SBS mc 2
102651,CWH ws 1 /101,CWH ws 1
102580,SBS mc 2 /02,SBS mc 2
102551,CWH ws 2 /110,CWH ws 2
102550,CWH vh 2 /101,CWH vh 2
102480,SBS mc 2 /06,SBS mc 2
102450,CWH vh 2 /113,CWH vh 2
102380,CWH vm 4 /112,CWH vm 4
102350,CWH vh 2 /113,CWH vh 2
102280,MH  vh   /111,MH  vh
102251,CWH ws 2 /110,CWH ws 2
102250,CWH vh 2 /113,CWH vh 2
102180,CWH vh 2 /110,CWH vh 2
102151,CWH ws 1 /101,CWH ws 1
102150,CWH vh 2 /101,CWH vh 2
102080,CWH vh 2 /101,CWH vh 2
102050,CWH vh 2 /113,CWH vh 2
101980,CWH vh 2 /111,CWH vh 2
101951,CWH ws 1 /103,CWH ws 1
101950,CWH wh 2 /101c,CWH wh 2
1019-3,ESSFmh   /112a,ESSFmh
101850,MH  wh   /101a,MH  wh
101780,CWH vm 3 /101,CWH vm 3
101751,CWH ws 1 /112,CWH ws 1
101750,CWH wh 2 /110,CWH wh 2
101680,CWH vm 3 /103,CWH vm 3
101650,CWH wh 1 /110a,CWH wh 1
101580,CWH vm 3 /110,CWH vm 3
101551,CWH ws 1 /103,CWH ws 1
101550,CWH wh 1 /115,CWH wh 1
101450,CWH wh 1 /111a,CWH wh 1
101380,CWH vh 2 /101,CWH vh 2
101351,CWH ws 1 /103,CWH ws 1
101350,CWH wh 1 /101a,CWH wh 1
101280,CWH vh 2 /104,CWH vh 2
101251,CWH ws 2 /101,CWH ws 2
101250,CWH wh 1 /110a,CWH wh 1
101180,CWH vm 3 /101,CWH vm 3
101150,CWH wh 1 /111a,CWH wh 1
101080,SBPSmc   /01,SBPSmc
101051,CWH ws 1 /101,CWH ws 1
101050,CWH wh 1 /118,CWH wh 1
100980,SBPSmc   /01,SBPSmc
10097,ESSFwmw  /101,ESSFwmw
10096,ESSFwm 3 /111,ESSFwm 3
100951,CWH ws 1 /110,CWH ws 1
100950,CWH wh 1 /101a,CWH wh 1
10095,ESSFwm 3 /103,ESSFwm 3
10094,ESSFwm 3 /103,ESSFwm 3
10093,ESSFwh 3 /103,ESSFwh 3
10091,ICH mw 4 /103,ICH mw 4
100880,SBPSmc   /01,SBPSmc
100851,CWH ws 1 /101,CWH ws 1
100850,CWH wh 1 /101a,CWH wh 1
100780,SBPSmc   /01,SBPSmc
100751,CWH ws 1 /101,CWH ws 1
100750,CWH wh 1 /110b,CWH wh 1
100680,SBS dk   /06,SBS dk
100651,CWH ws 1 /112,CWH ws 1
100650,CWH wh 2 /101a,CWH wh 2
100580,SBS dk   /01,SBS dk
10056,ICH dw 1 /101,ICH dw 1
100551,CWH ws 1 /112,CWH ws 1
100550,CWH wh 1 /101a,CWH wh 1
100480,SBS dk   /04,SBS dk
100451,CWH ws 1 /103,CWH ws 1
100450,CWH wh 1 /110b,CWH wh 1
10042,ICH mw 4 /112,ICH mw 4
10041,ESSFwh 3 /110,ESSFwh 3
10040,ICH mw 4 /113,ICH mw 4
10039,ICH dw 1 /104,ICH dw 1
100380,SBS dk   /06,SBS dk
10037,ESSFwh 3 /103,ESSFwh 3
100351,CWH ws 1 /101,CWH ws 1
100350,CWH wh 1 /101a,CWH wh 1
10031,ESSFwm 3 /111,ESSFwm 3
10029,ICH dw 1 /101,ICH dw 1
100280,SBS dk   /01,SBS dk
10028,ICH mw 4 /110,ICH mw 4
10026,ICH mw 4 /103,ICH mw 4
100251,CWH ws 1 /110,CWH ws 1
100250,CWH vh 3 /111,CWH vh 3
10019,ESSFwh 3 /110,ESSFwh 3
100180,SBS dk   /05,SBS dk
10018,ESSFwh 3 /111,ESSFwh 3
10016,ESSFwh 3 /110,ESSFwh 3
100151,CWH ws 1 /103,CWH ws 1
100150,CWH vh 3 /106,CWH vh 3
10013,ESSFwh 3 /111,ESSFwh 3
10012,ESSFwh 3 /111,ESSFwh 3
10010,ESSFwh 3 /110,ESSFwh 3
10009,ESSFwh 3 /104.2,ESSFwh 3
10006,ESSFwh 3 /104.2,ESSFwh 3
10005,ESSFwh 3 /103,ESSFwh 3
10002,ESSFwm 3 /111,ESSFwm 3
10001,ESSFwm 3 /110,ESSFwm 3
10-2G3,CDF mm   /104,CDF mm
10-2F1,CDF mm   /112b,CDF mm
10-1G2,CDF mm   /101,CDF mm
10-1G1,CDF mm   /104,CDF mm
10-1F1,CDF mm   /104,CDF mm
1-5G3,CDF mm   /104,CDF mm
1-5G2,CDF mm   /104,CDF mm
1-5G1,CDF mm   /101,CDF mm
0927016,ICH dm   /103,ICH dm
0927012,ICH dm   /103,ICH dm
0924013,ESSFwm 4 /103.1,ESSFwm 4
09107,CWH wh 1 /113,CWH wh 1
09104,CWH wh 2 /101a,CWH wh 2
08295,ESSFwm 4 /102,ESSFwm 4
08293,ICH dm   /103,ICH dm
08291,ICH dm   /103,ICH dm
08288,ESSFwm 4 /103.2,ESSFwm 4
08285,ESSFwm 4 /103.2,ESSFwm 4
