"","spp","SS_NoSpace","newfeas","abund"
"435","Ss","CWHvh3/115","4",1.63636363636364
"436","Ss","CWHwh1/103.1","4",13.375
"437","Ss","CWHwh1/103.2","4",20
"438","Ss","CWHwh1/115","4",3.5
"439","Ss","MHwh/101a","4",15.5
"440","Ss","MHwh/101b","4",5.76000003814697
"441","Sw","BWBSdk/101","4",24.4615384615385
"442","Sw","BWBSdk/102","4",2.72727272727273
"443","Sw","BWBSdk/103","4",10.0909090909091
"444","Sw","BWBSdk/104","4",5.86170212765957
"445","Sw","BWBSdk/110","4",22.4285714285714
"446","Sw","BWBSdk/111","4",21
"447","Sw","BWBSdk/112","4",45
"448","Sw","BWBSmk/101","4",25.28
"449","Sw","BWBSmk/102","4",0.928571428571429
"450","Sw","BWBSmk/103","4",15.4444444444444
"451","Sw","BWBSmk/104","4",3.55396824791318
"452","Sw","BWBSmk/110","4",20.3333333333333
"453","Sw","BWBSmk/111","4",35.4166666666667
"454","Sw","BWBSmk/112","4",12.5
"455","Sw","BWBSmw/101","4",30.0740740740741
"456","Sw","BWBSmw/103","4",11.9411764705882
"457","Sw","BWBSmw/104","4",1.44736842105263
"458","Sw","BWBSmw/110","4",26.25
"459","Sw","BWBSmw/111","4",25.2857142857143
"460","Sw","BWBSmw/112","4",10.5
"461","Sw","BWBSwk1/101","4",5.625
"462","Sw","BWBSwk1/103","4",0.6
"463","Sw","BWBSwk1/104","4",3.65
"464","Sw","BWBSwk1/110","4",24.5
"465","Sw","BWBSwk1/111","4",9.66666666666667
"466","Sw","BWBSwk2/101","4",10.4166666666667
"467","Sw","BWBSwk2/103","4",18.0909090909091
"468","Sw","BWBSwk2/104","4",3.45454545454545
"469","Sw","BWBSwk2/110","4",17.2
"470","Sw","BWBSwk2/111","4",23.875
"471","Sw","BWBSwk3/101","4",12.4285714285714
"472","Sw","BWBSwk3/103","4",3.63333333333333
"473","Sw","BWBSwk3/110","4",13.75
"474","Sw","ESSFmv2/01","4",0.357142857142857
"475","Sw","ESSFmv2/02","4",2.5
"476","Sw","ESSFmv2/04","4",5.33333333333333
"477","Sw","ESSFmv3/01","4",3.04444444444444
"478","Sw","ESSFmv3/04","4",2.35714285714286
"479","Sw","ESSFmv4/01","4",4.69230769230769
"480","Yc","CWHvh3/111","4",3.33333333333333
"481","Yc","CWHwh1/101a","4",1.09692307401162
"482","Yc","CWHwh1/102","4",0.730769230769231
"483","Yc","CWHwh1/110a","4",4.5
"484","Yc","CWHwh1/110b","4",8.75
"485","Yc","CWHwh1/111a","4",0.142857142857143
"486","Yc","MHwh/101a","4",5.3363636190241
"487","Yc","MHwh/101b","4",29.6199996948242
